anion,T,trail,alpha_soft,alpha_soft_se,alpha_hard,alpha_hard_se
tfsi,373,9.0,0.00042835,5.322e-05,0.00050796,8.167e-05
tfsi,373,9.5,0.00037781,5.801e-05,0.00042956,5.871e-05
tfsi,373,10.0,0.00034999,5.898e-05,0.00037181,6.304e-05
tfsi,423,0.1,,,0.00486364,0.00018032
tfsi,423,0.2,,,0.00498446,0.00017457
tfsi,423,0.3,0.02245818,0.00937849,0.00519654,0.00019458
tfsi,423,0.4,0.01541125,0.00820915,0.00526846,0.00019361
tfsi,423,0.5,0.01734125,0.00474097,0.00530524,0.00019773
tfsi,423,0.6,0.01620012,0.00388521,0.00525267,0.000204
tfsi,423,0.7,0.01731194,0.00315759,0.00525275,0.00020436
tfsi,423,0.8,0.01542796,0.00184063,0.00525432,0.00020266
tfsi,423,0.9,0.01352403,0.00154084,0.00529623,0.00020607
tfsi,423,1.0,0.01353143,0.00137064,0.00529347,0.00020615
tfsi,423,1.1,0.01092864,0.00115682,0.00531435,0.00020685
tfsi,423,1.2,0.01122001,0.00104152,0.00534656,0.000207
tfsi,423,1.3,0.01041194,0.00101501,0.00532514,0.00021454
tfsi,423,1.4,0.00998434,0.0008726,0.00532522,0.00021495
tfsi,423,1.5,0.00773528,0.00081768,0.0053254,0.00021401
tfsi,423,1.6,0.00790775,0.00077953,0.00526115,0.00022002
tfsi,423,1.7,0.00722142,0.00074376,0.00521633,0.00021835
tfsi,423,1.8,0.00710631,0.00067527,0.0052244,0.000209
tfsi,423,1.9,0.00728228,0.00061459,0.00526343,0.00022061
tfsi,423,2.0,0.00739028,0.00060719,0.00529132,0.00021534
tfsi,423,2.5,0.00617488,0.0004263,0.00513018,0.00021223
tfsi,423,3.0,0.0043403,0.00032141,0.00468365,0.00030927
tfsi,423,3.5,0.00394333,0.00026648,0.00450402,0.0002536
tfsi,423,4.0,0.00373411,0.00022796,0.0040983,0.00023042
tfsi,423,4.5,0.00308647,0.00020362,0.00333405,0.0002706
tfsi,423,5.0,0.00232785,0.00019457,0.00299373,0.00024297
tfsi,423,5.5,0.00169586,0.00017725,0.00270997,0.00024299
tfsi,423,6.0,0.00155142,0.00013066,0.00207914,0.00020408
tfsi,423,6.5,0.00141733,0.00011389,0.00189791,0.00019382
tfsi,423,7.0,0.00122325,9.502e-05,0.00176906,0.0001968
tfsi,423,7.5,0.0010165,7.701e-05,0.00114346,0.00015821
tfsi,423,8.0,0.00084468,7.631e-05,0.00104234,0.00013511
tfsi,423,8.5,0.00073009,6.654e-05,0.00071224,0.00013279
tfsi,423,9.0,0.00056585,6.163e-05,0.00064411,0.00011816
tfsi,423,9.5,0.00051751,5.43e-05,0.00060227,0.00011504
tfsi,423,10.0,0.00048104,4.736e-05,0.00056772,0.00012176
beti,298,0.1,0.00189914,0.0013769,0.00013812,2.952e-05
beti,298,0.2,0.00177847,0.00074413,0.00013829,2.959e-05
beti,298,0.3,0.00158298,0.00051878,0.00013821,2.957e-05
beti,298,0.4,0.00120259,0.00044692,0.00013605,2.9e-05
beti,298,0.5,0.00095787,0.00040186,0.00013453,2.86e-05
beti,298,0.6,0.00082282,0.00034684,0.00013262,2.788e-05
beti,298,0.7,0.00088144,0.00032714,0.00013123,2.755e-05
beti,298,0.8,0.00084049,0.00026812,0.00013138,2.706e-05
beti,298,0.9,0.00085811,0.00027342,0.00013078,2.68e-05
beti,298,1.0,0.0008288,0.00024352,0.00012723,2.666e-05
